x,class-0,class-1,class-2,class-3,class-4,mean
0,0.146382,0.159544,0.190813,0.410256,0.076433,0.3498115454545454
0.01,0.390244,0.429974,0.453848,0.774782,0.23618,0.3863281818181818
0.02,0.449547,0.474768,0.524565,0.808774,0.291689,0.42391972727272725
0.03,0.491984,0.493897,0.560627,0.828414,0.330911,0.4621412727272727
0.04,0.516405,0.533397,0.609011,0.834533,0.357449,0.5007383636363637
0.05,0.531822,0.551684,0.651743,0.840589,0.372211,0.5393369090909091
0.06,0.543975,0.576575,0.643846,0.842805,0.384643,0.577715090909091
0.07,0.549504,0.595278,0.666304,0.843739,0.39614,0.5929341818181818
0.08,0.550518,0.607099,0.682384,0.844671,0.400941,0.6037221818181817
0.09,0.562623,0.622127,0.680786,0.845602,0.395131,0.6117162727272727
0.1,0.568862,0.620888,0.674272,0.846531,0.395798,0.6175788181818181
0.11,0.576741,0.61365,0.667736,0.847459,0.388643,0.6219142727272727
0.12,0.581575,0.618413,0.68726,0.848386,0.386445,0.6257586363636364
0.13,0.585017,0.623632,0.693526,0.84931,0.391202,0.6284326363636363
0.14,0.588461,0.6299,0.677561,0.850234,0.399356,0.6307802727272728
0.15,0.593649,0.636789,0.686739,0.851156,0.404901,0.6331486363636364
0.16,0.598524,0.648413,0.688534,0.852076,0.398953,0.6355416363636364
0.17,0.605253,0.649171,0.690323,0.852995,0.405543,0.6383890909090909
0.18,0.606806,0.649927,0.692104,0.853913,0.395285,0.6407912727272728
0.19,0.612148,0.650681,0.693878,0.854829,0.403197,0.6426015454545454
0.2,0.617899,0.651434,0.695645,0.855743,0.415809,0.6443134545454544
0.21,0.621727,0.652184,0.702068,0.856657,0.405331,0.6456411818181818
0.22,0.622412,0.652934,0.708498,0.858015,0.408983,0.6467775454545454
0.23,0.619008,0.653681,0.709609,0.85988,0.41202,0.6477427272727273
0.24,0.613343,0.654427,0.710717,0.861738,0.402023,0.6489843636363636
0.25,0.614999,0.655171,0.711823,0.863591,0.39408,0.6500324545454546
0.26,0.616779,0.655913,0.712926,0.865437,0.395207,0.6507023636363637
0.27,0.619483,0.656654,0.714026,0.867277,0.391561,0.6514982727272728
