x,class-0,class-1,class-2,class-3,class-4,mean
0,0.079464,0.088608,0.106299,0.258065,0.040541,0.2494218181818182
0.01,0.251122,0.29805,0.300061,0.632366,0.152514,0.2839420909090909
0.02,0.302474,0.348866,0.368937,0.678942,0.207614,0.3200533636363636
0.03,0.343814,0.377441,0.407822,0.707087,0.251488,0.35732445454545453
0.04,0.368147,0.425617,0.461121,0.71605,0.288072,0.3953263636363636
0.05,0.386112,0.449386,0.511952,0.725013,0.320284,0.43392181818181813
0.06,0.399058,0.483381,0.513786,0.728317,0.347048,0.4728471818181818
0.07,0.405036,0.510271,0.542997,0.729713,0.371077,0.4933942727272726
0.08,0.408535,0.527885,0.564684,0.731109,0.390672,0.5098881818181819
0.09,0.422014,0.551032,0.565894,0.732505,0.391633,0.5236795454545454
0.1,0.429074,0.567262,0.56231,0.7339,0.40318,0.5352469090909091
0.11,0.438102,0.575557,0.558725,0.735296,0.406191,0.5450816363636364
0.12,0.446641,0.583994,0.587622,0.736692,0.409254,0.5540974545454547
0.13,0.456627,0.593373,0.596844,0.738088,0.42907,0.5615385454545455
0.14,0.46127,0.604827,0.591404,0.739484,0.449189,0.5685533636363637
0.15,0.467678,0.617658,0.60553,0.74088,0.463466,0.5758469090909091
0.16,0.473757,0.639912,0.608327,0.742276,0.469381,0.5827581818181818
0.17,0.482245,0.64139,0.611125,0.743672,0.48903,0.5899892727272728
0.18,0.48422,0.642867,0.613923,0.745068,0.482279,0.5965950909090908
0.19,0.49106,0.644345,0.61672,0.746464,0.510113,0.6022968181818181
0.2,0.498503,0.645823,0.619518,0.74786,0.55252,0.607517909090909
0.21,0.503505,0.6473,0.629781,0.749256,0.546003,0.6122873636363636
0.22,0.505566,0.648778,0.640203,0.751337,0.565696,0.6166010909090909
0.23,0.503579,0.650255,0.64202,0.754201,0.577472,0.6208902727272728
0.24,0.500258,0.651733,0.643837,0.757065,0.574703,0.6257230909090908
0.25,0.502796,0.653211,0.645654,0.759929,0.571746,0.6301452727272727
0.26,0.505179,0.654688,0.647471,0.762793,0.587399,0.6337320000000001
