x,class-0,class-1,class-2,class-3,class-4,mean
0,1,1,1,1,1,1
0.01,1,1,1,1,1,1
0.02,1,1,1,1,0.923077,0.984615
0.03,1,1,1,1,0.923077,0.984615
0.04,1,1,1,1,0.923077,0.984615
0.05,0.875,1,1,1,0.923077,0.959615
0.06,0.875,1,1,1,0.923077,0.959615
0.07,0.875,1,1,1,0.923077,0.959615
0.08,0.769231,1,1,1,0.866667,0.92718
0.09,0.769231,1,1,1,0.818182,0.917483
0.1,0.769231,1,1,1,0.818182,0.917483
0.11,0.76,1,1,1,0.818182,0.915636
0.12,0.76,1,1,1,0.8,0.912
0.13,0.76,1,1,1,0.8,0.912
0.14,0.76,1,1,1,0.785714,0.909143
0.15,0.76,1,1,1,0.741935,0.900387
0.16,0.76,1,1,1,0.722222,0.896444
0.17,0.76,1,1,1,0.712515,0.894503
0.18,0.76,1,1,1,0.688889,0.889778
0.19,0.76,1,1,1,0.688889,0.889778
0.2,0.76,1,1,1,0.688889,0.889778
0.21,0.76,1,1,1,0.653846,0.882769
0.22,0.76,1,1,1,0.653846,0.882769
0.23,0.76,1,1,1,0.644068,0.880814
0.24,0.76,1,1,1,0.644068,0.880814
0.25,0.76,1,1,1,0.639344,0.879869
0.26,0.76,1,1,1,0.634921,0.878984
0.27,0.76,1,1,1,0.619718,0.875944
0.28,0.76,1,1,1,0.619718,0.875944
0.29,0.76,1,1,1,0.592105,0.870421
0.3,0.76,1,1,1,0.589744,0.869949
0.31,0.76,1,1,1,0.583333,0.868667
0.32,0.76,0.928571,1,1,0.563623,0.850439
0.33,0.76,0.928571,1,1,0.554348,0.848584
0.34,0.76,0.928571,1,1,0.490741,0.835862
0.35,0.76,0.928571,1,1,0.478261,0.833366
0.36,0.76,0.928571,1,1,0.445762,0.826867
0.37,0.76,0.928571,1,1,0.412587,0.820232
0.38,0.76,0.85,1,1,0.412587,0.804517
0.39,0.76,0.85,1,1,0.405405,0.803081
0.4,0.759494,0.85,1,1,0.391304,0.80016
0.41,0.759494,0.85,1,1,0.391304,0.80016
0.42,0.759494,0.85,1,1,0.386905,0.79928
0.43,0.759494,0.85,1,1,0.351064,0.792112
0.44,0.759494,0.85,1,1,0.320755,0.78605
0.45,0.759494,0.85,1,1,0.316514,0.785202
0.46,0.759494,0.85,1,1,0.308696,0.783638
0.47,0.759494,0.85,1,1,0.302521,0.782403
0.48,0.759494,0.85,1,1,0.251701,0.772239
0.49,0.759494,0.826087,1,1,0.205998,0.758316
0.5,0.759494,0.826087,1,1,0.194444,0.756005
0.51,0.759494,0.826087,1,1,0.182624,0.753641
0.52,0.759494,0.826087,1,1,0.167715,0.750659
0.53,0.759494,0.826087,1,1,0.154717,0.74806
0.54,0.759494,0.826087,1,1,0.152727,0.747662
0.55,0.759494,0.814815,1,1,0.15233,0.745328
0.56,0.759494,0.814815,1,1,0.149306,0.744723
0.57,0.759494,0.814815,1,1,0.124302,0.739722
0.58,0.759494,0.814815,1,1,0.124302,0.739722
0.59,0.759494,0.814815,1,1,0.102593,0.73538
0.6,0.759494,0.814815,1,1,0.100109,0.734884
0.61,0.759494,0.814815,1,1,0.077366,0.730335
0.62,0.759494,0.814815,1,1,0.075337,0.729929
0.63,0.709302,0.766667,1,1,0.065986,0.708391
0.64,0.673913,0.766667,1,1,0.065688,0.701254
0.65,0.659794,0.766667,1,1,0.059809,0.697254
0.66,0.659794,0.571429,1,1,0.046221,0.655489
0.67,0.656566,0.571429,1,1,0,0.645599
0.68,0.644231,0.571429,1,1,0,0.643132
0.69,0.644231,0.555556,0.875,1,0,0.614957
0.7,0.641509,0.555556,0.875,1,0,0.614413
0.71,0.589744,0.555556,0.875,1,0,0.60406
0.72,0.588235,0.371429,0.875,1,0,0.566933
0.73,0.566929,0.371429,0.71875,1,0,0.531422
0.74,0.566929,0.371429,0.71875,1,0,0.531422
0.75,0.56451,0.3375,0.71875,1,0,0.524152
0.76,0.556049,0.3375,0.71875,1,0,0.52246
0.77,0.552239,0.3375,0.71875,1,0,0.521698
0.78,0.524476,0.10566,0.71875,1,0,0.469777
0.79,0.517007,0.10566,0.71875,1,0,0.468283
0.8,0.506494,0.084528,0.6,1,0,0.438204
0.81,0.506494,0,0.6,1,0,0.421299
0.82,0.459302,0,0.6,1,0,0.41186
0.83,0.449438,0,0.568182,1,0,0.403524
0.84,0.440217,0,0.568182,1,0,0.40168
0.85,0.40796,0,0.568182,1,0,0.395228
0.86,0.377273,0,0.568182,1,0,0.389091
0.87,0.326848,0,0.52,1,0,0.36937
0.88,0.184382,0,0.52,0.96,0,0.332876
0.89,0.174442,0,0.52,0.96,0,0.330888
0.9,0.13024,0,0.375,0.96,0,0.293048
0.91,0.119891,0,0.375,0.96,0,0.290978
0.92,0.089627,0,0.375,0.96,0,0.284925
0.93,0,0,0.375,0.96,0,0.267
0.94,0,0,0,0.96,0,0.192
0.95,0,0,0,0.96,0,0.192
0.96,0,0,0,0.96,0,0.192
0.97,0,0,0,0.96,0,0.192
0.98,0,0,0,0.96,0,0.192
0.99,0,0,0,0.96,0,0.192
1,0,0,0,0,0,0
