x,69e0819b1d58f74c475160ff,69e0819b1d58f74c475160ff
1,2.56464,2.56464
2,2.42757,2.42757
3,2.19749,2.19749
4,2.55606,2.55606
5,2.19901,2.19901
6,2.17548,2.17548
7,2.06244,2.06244
8,2.1682,2.1682
9,2.07236,2.07236
10,2.00685,2.00685
11,2.05505,2.05505
12,1.97437,1.97437
13,1.99484,1.99484
14,1.95113,1.95113
15,1.91748,1.91748
16,1.91039,1.91039
17,1.94676,1.94676
18,1.9125,1.9125
19,1.8421,1.8421
20,1.82076,1.82076
21,1.86633,1.86633
22,1.91836,1.91836
23,1.90485,1.90485
24,1.84079,1.84079
25,1.84099,1.84099
26,1.87912,1.87912
27,1.82187,1.82187
28,1.79431,1.79431
29,1.8104,1.8104
30,1.7837,1.7837
31,1.79538,1.79538
32,1.77324,1.77324
33,1.76949,1.76949
34,1.77231,1.77231
35,1.79922,1.79922
36,1.75965,1.75965
37,1.73727,1.73727
38,1.77057,1.77057
39,1.78833,1.78833
40,1.70717,1.70717
41,1.75592,1.75592
42,1.73625,1.73625
43,1.69912,1.69912
44,1.70614,1.70614
45,1.72627,1.72627
46,1.72113,1.72113
47,1.77441,1.77441
48,1.69901,1.69901
49,1.70158,1.70158
50,1.69123,1.69123
51,1.67365,1.67365
52,1.66436,1.66436
53,1.68108,1.68108
54,1.69303,1.69303
55,1.66962,1.66962
56,1.66787,1.66787
57,1.67787,1.67787
58,1.68327,1.68327
59,1.70122,1.70122
60,1.66883,1.66883
61,1.69613,1.69613
62,1.6361,1.6361
63,1.66502,1.66502
64,1.63831,1.63831
65,1.63816,1.63816
66,1.6144,1.6144
67,1.68895,1.68895
68,1.62591,1.62591
69,1.66196,1.66196
70,1.68805,1.68805
71,1.68175,1.68175
72,1.63743,1.63743
73,1.63359,1.63359
74,1.635,1.635
75,1.68304,1.68304
76,1.70084,1.70084
77,1.62236,1.62236
78,1.6219,1.6219
79,1.69368,1.69368
80,1.6402,1.6402
81,1.62671,1.62671
82,1.64615,1.64615
83,1.62625,1.62625
84,1.63014,1.63014
85,1.63184,1.63184
86,1.58171,1.58171
87,1.58384,1.58384
88,1.60479,1.60479
89,1.59756,1.59756
90,1.61914,1.61914
91,1.59029,1.59029
92,1.60339,1.60339
93,1.60841,1.60841
94,1.62122,1.62122
95,1.58724,1.58724
96,1.56322,1.56322
97,1.5931,1.5931
98,1.60251,1.60251
99,1.62724,1.62724
100,1.58464,1.58464
101,1.57439,1.57439
102,1.5853,1.5853
103,1.58379,1.58379
104,1.57533,1.57533
105,1.57859,1.57859
106,1.59099,1.59099
107,1.59265,1.59265
108,1.58279,1.58279
109,1.54184,1.54184
110,1.55724,1.55724
111,1.581,1.581
112,1.54332,1.54332
113,1.57007,1.57007
114,1.57639,1.57639
115,1.58356,1.58356
116,1.58681,1.58681
117,1.55334,1.55334
118,1.56708,1.56708
119,1.60076,1.60076
120,1.58197,1.58197
121,1.58666,1.58666
122,1.62314,1.62314
123,1.60469,1.60469
124,1.57663,1.57663
125,1.57863,1.57863
126,1.56417,1.56417
127,1.5862,1.5862
128,1.5375,1.5375
129,1.52778,1.52778
130,1.54188,1.54188
131,1.53097,1.53097
132,1.54337,1.54337
133,1.53617,1.53617
134,1.53929,1.53929
135,1.53783,1.53783
136,1.53623,1.53623
137,1.51858,1.51858
138,1.55177,1.55177
139,1.53818,1.53818
140,1.54649,1.54649
141,1.55185,1.55185
142,1.54602,1.54602
143,1.54804,1.54804
144,1.54952,1.54952
145,1.53105,1.53105
146,1.53661,1.53661
147,1.5395,1.5395
148,1.54233,1.54233
149,1.53739,1.53739
150,1.5358,1.5358
151,1.54271,1.54271
152,1.54176,1.54176
153,1.54239,1.54239
154,1.5538,1.5538
155,1.54182,1.54182
156,1.53031,1.53031
157,1.52933,1.52933
158,1.52844,1.52844
159,1.53428,1.53428
160,1.53314,1.53314
161,1.5416,1.5416
162,1.54954,1.54954
163,1.53493,1.53493
164,1.52711,1.52711
165,1.53575,1.53575
166,1.5204,1.5204
167,1.52235,1.52235
168,1.52174,1.52174
169,1.52315,1.52315
170,1.52346,1.52346
171,1.5311,1.5311
172,1.52578,1.52578
173,1.51478,1.51478
174,1.50895,1.50895
175,1.5315,1.5315
176,1.52462,1.52462
177,1.52271,1.52271
178,1.52042,1.52042
179,1.525,1.525
180,1.52439,1.52439
181,1.5242,1.5242
182,1.51858,1.51858
183,1.50778,1.50778
184,1.50578,1.50578
185,1.51246,1.51246
186,1.5195,1.5195
187,1.51861,1.51861
188,1.51079,1.51079
189,1.51179,1.51179
190,1.51153,1.51153
191,1.508,1.508
192,1.51081,1.51081
193,1.51039,1.51039
194,1.51552,1.51552
195,1.51314,1.51314
196,1.51223,1.51223
197,1.50924,1.50924
198,1.51542,1.51542
199,1.51725,1.51725
200,1.51639,1.51639
201,NaN,NaN
