x,69e0819b1d58f74c475160ff,69e0819b1d58f74c475160ff
1,3.8412,3.8412
2,3.05169,3.05169
3,2.91902,2.91902
4,2.88303,2.88303
5,2.63181,2.63181
6,2.24834,2.24834
7,2.33332,2.33332
8,2.23394,2.23394
9,2.23014,2.23014
10,2.11809,2.11809
11,2.09262,2.09262
12,2.0391,2.0391
13,1.95599,1.95599
14,2.05613,2.05613
15,1.96749,1.96749
16,1.84675,1.84675
17,1.87427,1.87427
18,1.81471,1.81471
19,1.6511,1.6511
20,1.69118,1.69118
21,1.66653,1.66653
22,1.7378,1.7378
23,1.66349,1.66349
24,1.6444,1.6444
25,1.65576,1.65576
26,1.65165,1.65165
27,1.57432,1.57432
28,1.67112,1.67112
29,1.59642,1.59642
30,1.60232,1.60232
31,1.62384,1.62384
32,1.46967,1.46967
33,1.55445,1.55445
34,1.52345,1.52345
35,1.4962,1.4962
36,1.50908,1.50908
37,1.47197,1.47197
38,1.55431,1.55431
39,1.5355,1.5355
40,1.39281,1.39281
41,1.3974,1.3974
42,1.46801,1.46801
43,1.45206,1.45206
44,1.36609,1.36609
45,1.47572,1.47572
46,1.39518,1.39518
47,1.47564,1.47564
48,1.37673,1.37673
49,1.44448,1.44448
50,1.36516,1.36516
51,1.33129,1.33129
52,1.43601,1.43601
53,1.47546,1.47546
54,1.34105,1.34105
55,1.40438,1.40438
56,1.2832,1.2832
57,1.3975,1.3975
58,1.41188,1.41188
59,1.34285,1.34285
60,1.30672,1.30672
61,1.32473,1.32473
62,1.33245,1.33245
63,1.34789,1.34789
64,1.29762,1.29762
65,1.3198,1.3198
66,1.31524,1.31524
67,1.2749,1.2749
68,1.31988,1.31988
69,1.32043,1.32043
70,1.36759,1.36759
71,1.32283,1.32283
72,1.27449,1.27449
73,1.22687,1.22687
74,1.32039,1.32039
75,1.29995,1.29995
76,1.3336,1.3336
77,1.30807,1.30807
78,1.2588,1.2588
79,1.25498,1.25498
80,1.31602,1.31602
81,1.24679,1.24679
82,1.26111,1.26111
83,1.26587,1.26587
84,1.28252,1.28252
85,1.27725,1.27725
86,1.28824,1.28824
87,1.28013,1.28013
88,1.29428,1.29428
89,1.28291,1.28291
90,1.2627,1.2627
91,1.27625,1.27625
92,1.25465,1.25465
93,1.19841,1.19841
94,1.29482,1.29482
95,1.24538,1.24538
96,1.21601,1.21601
97,1.24504,1.24504
98,1.24466,1.24466
99,1.24433,1.24433
100,1.20803,1.20803
101,1.16983,1.16983
102,1.18754,1.18754
103,1.25996,1.25996
104,1.22641,1.22641
105,1.18653,1.18653
106,1.22592,1.22592
107,1.20996,1.20996
108,1.23389,1.23389
109,1.19692,1.19692
110,1.22298,1.22298
111,1.27052,1.27052
112,1.26354,1.26354
113,1.25925,1.25925
114,1.26895,1.26895
115,1.24766,1.24766
116,1.2624,1.2624
117,1.25302,1.25302
118,1.23635,1.23635
119,1.26172,1.26172
120,1.21991,1.21991
121,1.23676,1.23676
122,1.29162,1.29162
123,1.28207,1.28207
124,1.22398,1.22398
125,1.26156,1.26156
126,1.24022,1.24022
127,1.24037,1.24037
128,1.23586,1.23586
129,1.21788,1.21788
130,1.21821,1.21821
131,1.25613,1.25613
132,1.22721,1.22721
133,1.24004,1.24004
134,1.24502,1.24502
135,1.24051,1.24051
136,1.25677,1.25677
137,1.2766,1.2766
138,1.34129,1.34129
139,1.25837,1.25837
140,1.25988,1.25988
141,1.2541,1.2541
142,1.24065,1.24065
143,1.22195,1.22195
144,1.24171,1.24171
145,1.23412,1.23412
146,1.24403,1.24403
147,1.24138,1.24138
148,1.2162,1.2162
149,1.24698,1.24698
150,1.20201,1.20201
151,1.22086,1.22086
152,1.26747,1.26747
153,1.2307,1.2307
154,1.25125,1.25125
155,1.23664,1.23664
156,1.23647,1.23647
157,1.27051,1.27051
158,1.24485,1.24485
159,1.27082,1.27082
160,1.25691,1.25691
161,1.27074,1.27074
162,1.26869,1.26869
163,1.28126,1.28126
164,1.25499,1.25499
165,1.28488,1.28488
166,1.28584,1.28584
167,1.29768,1.29768
168,1.28539,1.28539
169,1.27186,1.27186
170,1.27362,1.27362
171,1.267,1.267
172,1.27452,1.27452
173,1.27601,1.27601
174,1.28233,1.28233
175,1.27731,1.27731
176,1.29386,1.29386
177,1.28656,1.28656
178,1.27687,1.27687
179,1.26795,1.26795
180,1.27605,1.27605
181,1.26244,1.26244
182,1.24809,1.24809
183,1.24558,1.24558
184,1.25929,1.25929
185,1.26423,1.26423
186,1.26243,1.26243
187,1.25039,1.25039
188,1.24677,1.24677
189,1.24171,1.24171
190,1.23806,1.23806
191,1.22754,1.22754
192,1.22711,1.22711
193,1.2334,1.2334
194,1.237,1.237
195,1.23616,1.23616
196,1.24407,1.24407
197,1.24101,1.24101
198,1.24638,1.24638
199,1.25364,1.25364
200,1.25026,1.25026
201,NaN,NaN
