x,69e0819b1d58f74c475160ff
1,0.000369
2,0.000736
3,0.001099
4,0.001095
5,0.001089
6,0.001084
7,0.001078
8,0.001073
9,0.001067
10,0.001062
11,0.001056
12,0.001051
13,0.001045
14,0.00104
15,0.001034
16,0.001029
17,0.001023
18,0.001018
19,0.001012
20,0.001007
21,0.001001
22,0.000996
23,0.00099
24,0.000985
25,0.000979
26,0.000974
27,0.000968
28,0.000963
29,0.000957
30,0.000952
31,0.000946
32,0.000941
33,0.000935
34,0.00093
35,0.000924
36,0.000919
37,0.000913
38,0.000908
39,0.000902
40,0.000897
41,0.000891
42,0.000886
43,0.00088
44,0.000875
45,0.000869
46,0.000864
47,0.000858
48,0.000853
49,0.000847
50,0.000842
51,0.000836
52,0.000831
53,0.000825
54,0.00082
55,0.000814
56,0.000809
57,0.000803
58,0.000798
59,0.000792
60,0.000787
61,0.000781
62,0.000776
63,0.00077
64,0.000765
65,0.000759
66,0.000754
67,0.000748
68,0.000743
69,0.000737
70,0.000732
71,0.000726
72,0.000721
73,0.000715
74,0.00071
75,0.000704
76,0.000699
77,0.000693
78,0.000688
79,0.000682
80,0.000677
81,0.000671
82,0.000666
83,0.00066
84,0.000655
85,0.000649
86,0.000644
87,0.000638
88,0.000633
89,0.000627
90,0.000622
91,0.000616
92,0.000611
93,0.000605
94,0.0006
95,0.000594
96,0.000589
97,0.000583
98,0.000578
99,0.000572
100,0.000567
101,0.000561
102,0.000556
103,0.00055
104,0.000545
105,0.000539
106,0.000534
107,0.000528
108,0.000523
109,0.000517
110,0.000512
111,0.000506
112,0.000501
113,0.000495
114,0.00049
115,0.000484
116,0.000479
117,0.000473
118,0.000468
119,0.000462
120,0.000457
121,0.000451
122,0.000446
123,0.00044
124,0.000435
125,0.000429
126,0.000424
127,0.000418
128,0.000413
129,0.000407
130,0.000402
131,0.000396
132,0.000391
133,0.000385
134,0.00038
135,0.000374
136,0.000369
137,0.000363
138,0.000358
139,0.000352
140,0.000347
141,0.000341
142,0.000336
143,0.00033
144,0.000325
145,0.000319
146,0.000314
147,0.000308
148,0.000303
149,0.000297
150,0.000292
151,0.000286
152,0.000281
153,0.000275
154,0.00027
155,0.000264
156,0.000259
157,0.000253
158,0.000248
159,0.000242
160,0.000237
161,0.000231
162,0.000226
163,0.00022
164,0.000215
165,0.000209
166,0.000204
167,0.000198
168,0.000193
169,0.000187
170,0.000182
171,0.000176
172,0.000171
173,0.000165
174,0.00016
175,0.000154
176,0.000149
177,0.000143
178,0.000138
179,0.000132
180,0.000127
181,0.000121
182,0.000116
183,0.00011
184,0.000105
185,0.000099
186,0.000094
187,0.000088
188,0.000083
189,0.000077
190,0.000072
191,0.000066
192,0.000061
193,0.000055
194,0.00005
195,0.000044
196,0.000039
197,0.000033
198,0.000028
199,0.000022
200,0.000017
201,0.000017
