x,69e0819b1d58f74c475160ff
1,0.19627
2,0.22707
3,0.26706
4,0.21639
5,0.28111
6,0.3684
7,0.40659
8,0.41782
9,0.36815
10,0.44747
11,0.45374
12,0.48122
13,0.54839
14,0.42321
15,0.4807
16,0.51223
17,0.52598
18,0.53301
19,0.57092
20,0.56617
21,0.56179
22,0.53712
23,0.53071
24,0.58226
25,0.58147
26,0.58323
27,0.58378
28,0.58045
29,0.59397
30,0.57076
31,0.57382
32,0.60867
33,0.6257
34,0.60674
35,0.6058
36,0.60953
37,0.63469
38,0.60952
39,0.61556
40,0.63014
41,0.62155
42,0.648
43,0.63201
44,0.64868
45,0.62361
46,0.65611
47,0.64033
48,0.61668
49,0.64039
50,0.65817
51,0.6711
52,0.63402
53,0.62433
54,0.67012
55,0.62792
56,0.65868
57,0.64785
58,0.65933
59,0.66762
60,0.68423
61,0.65916
62,0.63109
63,0.6627
64,0.65397
65,0.66586
66,0.6656
67,0.66093
68,0.64803
69,0.65235
70,0.64683
71,0.67718
72,0.68001
73,0.68762
74,0.67742
75,0.69175
76,0.65288
77,0.66851
78,0.67325
79,0.67931
80,0.66705
81,0.70017
82,0.69453
83,0.68474
84,0.67226
85,0.68278
86,0.67904
87,0.67445
88,0.66814
89,0.67451
90,0.65939
91,0.68101
92,0.67089
93,0.69083
94,0.67888
95,0.68717
96,0.6843
97,0.68094
98,0.67487
99,0.67205
100,0.69042
101,0.69547
102,0.68776
103,0.67059
104,0.68425
105,0.70648
106,0.6941
107,0.69113
108,0.67996
109,0.68873
110,0.68079
111,0.68302
112,0.67508
113,0.67552
114,0.68397
115,0.68368
116,0.67749
117,0.68017
118,0.68167
119,0.67553
120,0.6876
121,0.68072
122,0.65384
123,0.68218
124,0.68895
125,0.68308
126,0.68197
127,0.69118
128,0.69247
129,0.69939
130,0.68983
131,0.68328
132,0.69619
133,0.69337
134,0.68518
135,0.67551
136,0.67449
137,0.66632
138,0.67105
139,0.6835
140,0.68277
141,0.67495
142,0.68438
143,0.68188
144,0.6844
145,0.6889
146,0.68271
147,0.68718
148,0.68303
149,0.68116
150,0.68217
151,0.68377
152,0.68723
153,0.68409
154,0.68591
155,0.69052
156,0.66917
157,0.66841
158,0.6788
159,0.67674
160,0.6703
161,0.67281
162,0.67673
163,0.67967
164,0.68116
165,0.67062
166,0.67754
167,0.67099
168,0.66881
169,0.67088
170,0.6726
171,0.67513
172,0.67442
173,0.67796
174,0.6786
175,0.67415
176,0.68307
177,0.67592
178,0.6763
179,0.68
180,0.68083
181,0.68669
182,0.68893
183,0.68561
184,0.68713
185,0.68452
186,0.68838
187,0.68923
188,0.69166
189,0.69202
190,0.69089
191,0.68729
192,0.68557
193,0.68039
194,0.67924
195,0.6805
196,0.67834
197,0.67475
198,0.67569
199,0.67449
200,0.67654
201,0.687798
