x,69e0819b1d58f74c475160ff
1,0.07216
2,0.07655
3,0.10885
4,0.0934
5,0.12631
6,0.14883
7,0.19912
8,0.17446
9,0.1688
10,0.18269
11,0.2001
12,0.21209
13,0.22223
14,0.18819
15,0.2267
16,0.25758
17,0.25133
18,0.26246
19,0.28435
20,0.29755
21,0.27041
22,0.27245
23,0.26817
24,0.30458
25,0.31519
26,0.3088
27,0.31679
28,0.31095
29,0.31987
30,0.31512
31,0.32036
32,0.33112
33,0.33362
34,0.32999
35,0.32263
36,0.34319
37,0.36441
38,0.32849
39,0.335
40,0.35838
41,0.37355
42,0.3652
43,0.3717
44,0.3739
45,0.36211
46,0.37952
47,0.36547
48,0.38137
49,0.38975
50,0.37414
51,0.397
52,0.38645
53,0.36191
54,0.38937
55,0.36795
56,0.38871
57,0.39099
58,0.373
59,0.39092
60,0.40948
61,0.38042
62,0.39166
63,0.39545
64,0.40351
65,0.41001
66,0.40144
67,0.39008
68,0.39769
69,0.38825
70,0.38758
71,0.39345
72,0.41237
73,0.41768
74,0.40019
75,0.41767
76,0.37534
77,0.40339
78,0.41091
79,0.41447
80,0.40608
81,0.41327
82,0.41685
83,0.41516
84,0.41732
85,0.42027
86,0.42267
87,0.42391
88,0.40549
89,0.41634
90,0.40997
91,0.42079
92,0.41361
93,0.42109
94,0.41519
95,0.43486
96,0.42916
97,0.42472
98,0.41984
99,0.41335
100,0.42807
101,0.4258
102,0.43796
103,0.42677
104,0.42979
105,0.43389
106,0.42487
107,0.43374
108,0.43039
109,0.43551
110,0.437
111,0.43133
112,0.42736
113,0.42991
114,0.43083
115,0.4241
116,0.42102
117,0.43225
118,0.4285
119,0.41788
120,0.42794
121,0.43032
122,0.41516
123,0.42546
124,0.44004
125,0.42553
126,0.43078
127,0.43416
128,0.43412
129,0.44483
130,0.43749
131,0.43731
132,0.44336
133,0.43707
134,0.43347
135,0.43544
136,0.43347
137,0.43492
138,0.42643
139,0.43639
140,0.4336
141,0.43089
142,0.43538
143,0.43127
144,0.43691
145,0.44238
146,0.43831
147,0.43432
148,0.4349
149,0.4365
150,0.43423
151,0.437
152,0.43583
153,0.4331
154,0.4317
155,0.44423
156,0.42669
157,0.4249
158,0.43508
159,0.42939
160,0.43042
161,0.4328
162,0.42352
163,0.42871
164,0.43386
165,0.43241
166,0.43607
167,0.43224
168,0.4259
169,0.42941
170,0.43173
171,0.43363
172,0.43092
173,0.43384
174,0.43056
175,0.43212
176,0.4345
177,0.4395
178,0.43325
179,0.4387
180,0.44019
181,0.44016
182,0.44328
183,0.43934
184,0.44259
185,0.44173
186,0.43769
187,0.43981
188,0.44136
189,0.43933
190,0.4431
191,0.44254
192,0.44032
193,0.43834
194,0.44102
195,0.44422
196,0.44134
197,0.4416
198,0.4408
199,0.43826
200,0.43887
201,0.442674
