x,69e0819b1d58f74c475160ff
1,0.08616
2,0.0863
3,0.12018
4,0.10392
5,0.14371
6,0.18946
7,0.2101
8,0.21937
9,0.18926
10,0.21139
11,0.2313
12,0.23799
13,0.27154
14,0.21612
15,0.25057
16,0.2782
17,0.27257
18,0.27471
19,0.30621
20,0.32315
21,0.3083
22,0.29866
23,0.30097
24,0.32809
25,0.33559
26,0.34168
27,0.34701
28,0.33428
29,0.33456
30,0.33063
31,0.34322
32,0.35184
33,0.35892
34,0.34177
35,0.35237
36,0.35916
37,0.36944
38,0.35597
39,0.35501
40,0.37391
41,0.36272
42,0.38145
43,0.38696
44,0.38666
45,0.37472
46,0.40173
47,0.38603
48,0.37388
49,0.39252
50,0.39624
51,0.39618
52,0.39513
53,0.37405
54,0.40521
55,0.38775
56,0.40872
57,0.4025
58,0.39418
59,0.39984
60,0.42042
61,0.38964
62,0.39635
63,0.39926
64,0.40214
65,0.4135
66,0.40609
67,0.39366
68,0.41021
69,0.39624
70,0.39815
71,0.40857
72,0.41973
73,0.42182
74,0.41693
75,0.42662
76,0.39076
77,0.41486
78,0.4221
79,0.42448
80,0.41691
81,0.42475
82,0.42735
83,0.41994
84,0.4248
85,0.42656
86,0.43233
87,0.42584
88,0.41572
89,0.42557
90,0.41802
91,0.42428
92,0.42388
93,0.42988
94,0.41964
95,0.43196
96,0.43153
97,0.42924
98,0.42811
99,0.42543
100,0.4312
101,0.43447
102,0.43791
103,0.42751
104,0.43433
105,0.44062
106,0.44227
107,0.43551
108,0.43671
109,0.43747
110,0.44242
111,0.43244
112,0.43289
113,0.42982
114,0.43145
115,0.43185
116,0.42891
117,0.43374
118,0.43819
119,0.43239
120,0.43985
121,0.43781
122,0.41803
123,0.43065
124,0.43711
125,0.42304
126,0.42895
127,0.43795
128,0.4409
129,0.44259
130,0.43535
131,0.43542
132,0.43877
133,0.43968
134,0.43869
135,0.43462
136,0.43836
137,0.43174
138,0.42772
139,0.43609
140,0.43329
141,0.42973
142,0.43802
143,0.43901
144,0.44194
145,0.4455
146,0.44367
147,0.43904
148,0.44206
149,0.44314
150,0.43948
151,0.44384
152,0.44706
153,0.44025
154,0.43612
155,0.44539
156,0.44037
157,0.43425
158,0.44375
159,0.44232
160,0.44134
161,0.43895
162,0.43801
163,0.43705
164,0.44193
165,0.43965
166,0.4455
167,0.43723
168,0.43327
169,0.43324
170,0.43532
171,0.43956
172,0.44179
173,0.43996
174,0.44005
175,0.44028
176,0.44256
177,0.44411
178,0.44115
179,0.44319
180,0.44367
181,0.44424
182,0.44836
183,0.44741
184,0.4506
185,0.44545
186,0.44399
187,0.44626
188,0.44722
189,0.44665
190,0.44293
191,0.44182
192,0.44087
193,0.4412
194,0.44074
195,0.44185
196,0.44308
197,0.44425
198,0.44349
199,0.44353
200,0.44573
201,0.450604
