x,69e0819b1d58f74c475160ff
1,0.25356
2,0.38829
3,0.26953
4,0.22081
5,0.35228
6,0.27997
7,0.4608
8,0.40437
9,0.34757
10,0.47515
11,0.46951
12,0.54436
13,0.56757
14,0.40913
15,0.5434
16,0.58737
17,0.5401
18,0.57875
19,0.57164
20,0.60095
21,0.5779
22,0.62497
23,0.52368
24,0.62976
25,0.63589
26,0.61254
27,0.54092
28,0.57327
29,0.53468
30,0.68793
31,0.57066
32,0.63559
33,0.71114
34,0.60894
35,0.53801
36,0.5896
37,0.73383
38,0.7514
39,0.62941
40,0.6388
41,0.68745
42,0.64756
43,0.57805
44,0.63105
45,0.71516
46,0.69295
47,0.61556
48,0.67892
49,0.60661
50,0.63942
51,0.64678
52,0.62439
53,0.71627
54,0.61652
55,0.60334
56,0.60793
57,0.58309
58,0.73936
59,0.73727
60,0.65136
61,0.64801
62,0.66562
63,0.66171
64,0.64476
65,0.61681
66,0.72894
67,0.6851
68,0.68271
69,0.71117
70,0.62703
71,0.72738
72,0.66904
73,0.71742
74,0.6357
75,0.73405
76,0.68577
77,0.63725
78,0.65712
79,0.66751
80,0.7206
81,0.66883
82,0.66697
83,0.59069
84,0.69381
85,0.70046
86,0.69437
87,0.71272
88,0.70499
89,0.74438
90,0.64517
91,0.72118
92,0.71789
93,0.74103
94,0.65758
95,0.70199
96,0.71011
97,0.67573
98,0.73087
99,0.70084
100,0.73923
101,0.75416
102,0.73169
103,0.66681
104,0.76303
105,0.73462
106,0.5863
107,0.71024
108,0.70559
109,0.70019
110,0.64989
111,0.69054
112,0.62835
113,0.76262
114,0.7792
115,0.65029
116,0.70936
117,0.76563
118,0.67323
119,0.61821
120,0.60928
121,0.64293
122,0.66613
123,0.74564
124,0.79441
125,0.6759
126,0.65075
127,0.68624
128,0.66323
129,0.73922
130,0.73301
131,0.66507
132,0.7672
133,0.76941
134,0.7403
135,0.74029
136,0.64489
137,0.63025
138,0.75697
139,0.69887
140,0.78767
141,0.76889
142,0.76593
143,0.71545
144,0.69973
145,0.7698
146,0.7236
147,0.70584
148,0.7027
149,0.66213
150,0.75584
151,0.80433
152,0.8138
153,0.68358
154,0.71869
155,0.81572
156,0.67278
157,0.81488
158,0.7254
159,0.80312
160,0.81975
161,0.70596
162,0.73287
163,0.66045
164,0.75688
165,0.76732
166,0.67701
167,0.72933
168,0.64945
169,0.64303
170,0.77558
171,0.78853
172,0.79198
173,0.72437
174,0.70773
175,0.75389
176,0.79841
177,0.77909
178,0.78491
179,0.69932
180,0.68226
181,0.72184
182,0.67996
183,0.68322
184,0.75019
185,0.70207
186,0.72304
187,0.74066
188,0.71516
189,0.67424
190,0.67708
191,0.67978
192,0.6911
193,0.73654
194,0.75775
195,0.7431
196,0.73178
197,0.74414
198,0.74528
199,0.76662
200,0.75813
201,0.746147
