x,69e0819b1d58f74c475160ff
1,0.286
2,0.5511
3,0.29397
4,0.22817
5,0.35664
6,0.32224
7,0.40114
8,0.46041
9,0.63191
10,0.63559
11,0.58438
12,0.5575
13,0.61556
14,0.58722
15,0.57849
16,0.60082
17,0.53868
18,0.56302
19,0.60608
20,0.61267
21,0.59009
22,0.64461
23,0.56158
24,0.65234
25,0.68745
26,0.65469
27,0.5455
28,0.5955
29,0.52707
30,0.67761
31,0.5929
32,0.64049
33,0.68966
34,0.61274
35,0.58158
36,0.63788
37,0.67613
38,0.77456
39,0.63373
40,0.64882
41,0.70071
42,0.62163
43,0.73623
44,0.65511
45,0.72492
46,0.68632
47,0.61075
48,0.66807
49,0.59361
50,0.67488
51,0.63128
52,0.61459
53,0.71851
54,0.64114
55,0.63558
56,0.60696
57,0.59124
58,0.80248
59,0.62361
60,0.66158
61,0.63364
62,0.6669
63,0.78203
64,0.62742
65,0.62484
66,0.73352
67,0.71206
68,0.70515
69,0.69936
70,0.62792
71,0.71312
72,0.66183
73,0.73072
74,0.73023
75,0.73966
76,0.6703
77,0.62972
78,0.75282
79,0.7583
80,0.72916
81,0.6874
82,0.66943
83,0.86074
84,0.71804
85,0.68351
86,0.6891
87,0.71335
88,0.68682
89,0.72322
90,0.72927
91,0.70137
92,0.68929
93,0.74012
94,0.69242
95,0.70357
96,0.709
97,0.69644
98,0.71651
99,0.69134
100,0.73795
101,0.74507
102,0.74354
103,0.67332
104,0.76063
105,0.73212
106,0.79284
107,0.67503
108,0.71662
109,0.7057
110,0.64084
111,0.73301
112,0.61938
113,0.75605
114,0.78396
115,0.77524
116,0.68551
117,0.78474
118,0.73462
119,0.60891
120,0.66812
121,0.69002
122,0.64539
123,0.74688
124,0.79568
125,0.67239
126,0.64523
127,0.80617
128,0.66325
129,0.72637
130,0.72844
131,0.66639
132,0.73627
133,0.66189
134,0.74518
135,0.72889
136,0.64464
137,0.74918
138,0.76934
139,0.68523
140,0.77958
141,0.78757
142,0.76229
143,0.71927
144,0.73001
145,0.76721
146,0.79859
147,0.68974
148,0.70608
149,0.66981
150,0.80975
151,0.80941
152,0.81271
153,0.68691
154,0.70591
155,0.80904
156,0.78329
157,0.79978
158,0.71767
159,0.7962
160,0.64548
161,0.65266
162,0.72435
163,0.6492
164,0.66566
165,0.75822
166,0.66224
167,0.67726
168,0.77641
169,0.64416
170,0.75961
171,0.73825
172,0.67886
173,0.69201
174,0.69604
175,0.67998
176,0.78406
177,0.76738
178,0.78576
179,0.69345
180,0.6683
181,0.70247
182,0.6933
183,0.77595
184,0.7444
185,0.72383
186,0.69953
187,0.72319
188,0.70448
189,0.6708
190,0.67038
191,0.67884
192,0.67625
193,0.72578
194,0.77918
195,0.72995
196,0.71986
197,0.72822
198,0.71872
199,0.72994
200,0.73245
201,0.74639
