x,69e0819b1d58f74c475160ff
1,0.28281
2,0.1591
3,0.40318
4,0.27298
5,0.39357
6,0.45205
7,0.37852
8,0.5001
9,0.41735
10,0.46223
11,0.47731
12,0.49518
13,0.47525
14,0.46473
15,0.44725
16,0.52787
17,0.5462
18,0.55057
19,0.54477
20,0.57321
21,0.53805
22,0.4936
23,0.56157
24,0.57405
25,0.56777
26,0.55989
27,0.60706
28,0.56533
29,0.5894
30,0.54502
31,0.60345
32,0.60966
33,0.56558
34,0.63178
35,0.62038
36,0.623
37,0.54089
38,0.53894
39,0.61509
40,0.63476
41,0.60998
42,0.62472
43,0.64359
44,0.62452
45,0.60557
46,0.62859
47,0.63881
48,0.64666
49,0.66849
50,0.64457
51,0.69807
52,0.62181
53,0.59189
54,0.68693
55,0.66382
56,0.68106
57,0.65091
58,0.57541
59,0.58613
60,0.66965
61,0.67515
62,0.6522
63,0.68362
64,0.65634
65,0.66191
66,0.62579
67,0.66932
68,0.63064
69,0.63273
70,0.64544
71,0.64506
72,0.68943
73,0.6675
74,0.70697
75,0.64935
76,0.67172
77,0.69472
78,0.68239
79,0.69314
80,0.63724
81,0.68633
82,0.71672
83,0.69455
84,0.66397
85,0.67811
86,0.65784
87,0.62965
88,0.65348
89,0.65701
90,0.69671
91,0.67063
92,0.68171
93,0.65408
94,0.68384
95,0.65357
96,0.6818
97,0.66201
98,0.64382
99,0.6777
100,0.6923
101,0.67723
102,0.67652
103,0.7034
104,0.64686
105,0.6748
106,0.73125
107,0.66321
108,0.6634
109,0.66491
110,0.71188
111,0.69272
112,0.71698
113,0.64989
114,0.64959
115,0.70583
116,0.66462
117,0.6073
118,0.67048
119,0.7064
120,0.73412
121,0.71977
122,0.69282
123,0.65201
124,0.62821
125,0.69234
126,0.70995
127,0.679
128,0.70994
129,0.6611
130,0.67446
131,0.7035
132,0.64849
133,0.63111
134,0.64416
135,0.66992
136,0.69794
137,0.72708
138,0.63167
139,0.66931
140,0.64469
141,0.64872
142,0.65592
143,0.67664
144,0.68772
145,0.64767
146,0.66069
147,0.68246
148,0.66329
149,0.69553
150,0.65225
151,0.6179
152,0.60839
153,0.68287
154,0.67494
155,0.62574
156,0.68442
157,0.62698
158,0.65985
159,0.62866
160,0.60554
161,0.65853
162,0.64906
163,0.69341
164,0.6353
165,0.62233
166,0.6671
167,0.64432
168,0.69992
169,0.68961
170,0.61802
171,0.62638
172,0.62511
173,0.64019
174,0.65427
175,0.63007
176,0.61797
177,0.62899
178,0.62568
179,0.67673
180,0.68766
181,0.67552
182,0.69072
183,0.6898
184,0.64578
185,0.67201
186,0.6716
187,0.65987
188,0.65995
189,0.68801
190,0.69041
191,0.68298
192,0.67444
193,0.65475
194,0.65086
195,0.66568
196,0.67082
197,0.66113
198,0.65583
199,0.64904
200,0.6682
201,0.64827
