x,69e0819b1d58f74c475160ff
1,0.32264
2,0.16809
3,0.41519
4,0.28146
5,0.40499
6,0.47241
7,0.42754
8,0.46812
9,0.33922
10,0.38915
11,0.44301
12,0.51176
13,0.49895
14,0.37455
15,0.47948
16,0.48804
17,0.54863
18,0.53667
19,0.53918
20,0.57088
21,0.53761
22,0.52211
23,0.51917
24,0.57986
25,0.54456
26,0.58765
27,0.60759
28,0.58055
29,0.60785
30,0.52213
31,0.56769
32,0.60798
33,0.55857
34,0.6025
35,0.62207
36,0.61163
37,0.56583
38,0.54882
39,0.61199
40,0.62223
41,0.60426
42,0.64617
43,0.56026
44,0.64028
45,0.5954
46,0.62774
47,0.63447
48,0.63197
49,0.65739
50,0.63354
51,0.68578
52,0.61683
53,0.60161
54,0.67171
55,0.60821
56,0.6819
57,0.63518
58,0.5615
59,0.65998
60,0.66064
61,0.66177
62,0.6153
63,0.57577
64,0.66887
65,0.65119
66,0.6255
67,0.66436
68,0.60016
69,0.62672
70,0.65237
71,0.64793
72,0.68589
73,0.65457
74,0.65303
75,0.65299
76,0.65845
77,0.67774
78,0.60031
79,0.63316
80,0.62745
81,0.68318
82,0.6971
83,0.56652
84,0.65958
85,0.66879
86,0.65156
87,0.62718
88,0.64713
89,0.65154
90,0.60709
91,0.64821
92,0.68516
93,0.65076
94,0.66513
95,0.65566
96,0.67919
97,0.65609
98,0.64404
99,0.66367
100,0.66673
101,0.67123
102,0.67018
103,0.67255
104,0.64138
105,0.66203
106,0.5854
107,0.6722
108,0.6387
109,0.65811
110,0.69858
111,0.64646
112,0.70354
113,0.6373
114,0.64334
115,0.62293
116,0.66935
117,0.60455
118,0.63089
119,0.70038
120,0.66254
121,0.66186
122,0.66412
123,0.65423
124,0.61415
125,0.69049
126,0.70162
127,0.62572
128,0.7014
129,0.65918
130,0.6716
131,0.70783
132,0.65188
133,0.6783
134,0.64
135,0.65782
136,0.68383
137,0.61176
138,0.63476
139,0.67159
140,0.63907
141,0.62614
142,0.65175
143,0.65866
144,0.65989
145,0.65142
146,0.61127
147,0.68006
148,0.67192
149,0.69556
150,0.61935
151,0.60413
152,0.60609
153,0.67817
154,0.67327
155,0.61755
156,0.61525
157,0.62152
158,0.64943
159,0.60986
160,0.68211
161,0.68466
162,0.63987
163,0.68475
164,0.68518
165,0.61789
166,0.68691
167,0.66413
168,0.59896
169,0.68181
170,0.61022
171,0.63304
172,0.67604
173,0.66347
174,0.66013
175,0.66862
176,0.6151
177,0.62595
178,0.6166
179,0.67415
180,0.68597
181,0.67396
182,0.68025
183,0.63101
184,0.65209
185,0.65737
186,0.67278
187,0.66781
188,0.65626
189,0.68717
190,0.69269
191,0.69337
192,0.68987
193,0.64508
194,0.63836
195,0.65872
196,0.65886
197,0.64752
198,0.65118
199,0.66084
200,0.66379
201,0.652663
