x,69e0819b1d58f74c475160ff,69e0819b1d58f74c475160ff
1,2.32279,2.32279
2,2.67179,2.67179
3,2.1063,2.1063
4,2.2697,2.2697
5,2.14703,2.14703
6,1.85807,1.85807
7,1.8441,1.8441
8,1.8866,1.8866
9,2.14854,2.14854
10,1.8088,1.8088
11,1.8242,1.8242
12,1.8048,1.8048
13,1.6123,1.6123
14,1.87647,1.87647
15,1.75631,1.75631
16,1.6721,1.6721
17,1.5902,1.5902
18,1.69,1.69
19,1.62408,1.62408
20,1.52732,1.52732
21,1.56968,1.56968
22,1.5302,1.5302
23,1.53148,1.53148
24,1.54425,1.54425
25,1.57673,1.57673
26,1.46623,1.46623
27,1.48584,1.48584
28,1.50778,1.50778
29,1.48864,1.48864
30,1.55635,1.55635
31,1.47827,1.47827
32,1.38555,1.38555
33,1.47313,1.47313
34,1.44272,1.44272
35,1.47017,1.47017
36,1.36263,1.36263
37,1.42067,1.42067
38,1.49573,1.49573
39,1.44936,1.44936
40,1.40501,1.40501
41,1.53482,1.53482
42,1.50925,1.50925
43,1.43755,1.43755
44,1.38434,1.38434
45,1.39166,1.39166
46,1.37037,1.37037
47,1.38604,1.38604
48,1.38741,1.38741
49,1.37061,1.37061
50,1.41988,1.41988
51,1.38472,1.38472
52,1.43344,1.43344
53,1.42334,1.42334
54,1.41881,1.41881
55,1.38219,1.38219
56,1.36176,1.36176
57,1.39896,1.39896
58,1.37667,1.37667
59,1.42252,1.42252
60,1.32731,1.32731
61,1.38679,1.38679
62,1.34748,1.34748
63,1.36507,1.36507
64,1.34974,1.34974
65,1.38894,1.38894
66,1.34866,1.34866
67,1.35384,1.35384
68,1.35421,1.35421
69,1.37978,1.37978
70,1.39859,1.39859
71,1.41969,1.41969
72,1.35587,1.35587
73,1.35873,1.35873
74,1.3527,1.3527
75,1.30833,1.30833
76,1.32565,1.32565
77,1.33286,1.33286
78,1.32647,1.32647
79,1.29152,1.29152
80,1.34671,1.34671
81,1.28171,1.28171
82,1.3207,1.3207
83,1.32149,1.32149
84,1.30516,1.30516
85,1.31528,1.31528
86,1.28727,1.28727
87,1.39993,1.39993
88,1.35576,1.35576
89,1.3289,1.3289
90,1.31943,1.31943
91,1.32429,1.32429
92,1.3069,1.3069
93,1.30299,1.30299
94,1.35018,1.35018
95,1.3628,1.3628
96,1.34134,1.34134
97,1.32139,1.32139
98,1.36527,1.36527
99,1.32099,1.32099
100,1.34092,1.34092
101,1.29515,1.29515
102,1.33073,1.33073
103,1.35454,1.35454
104,1.30551,1.30551
105,1.3075,1.3075
106,1.30741,1.30741
107,1.352,1.352
108,1.29393,1.29393
109,1.29156,1.29156
110,1.30147,1.30147
111,1.32968,1.32968
112,1.31239,1.31239
113,1.36834,1.36834
114,1.30153,1.30153
115,1.35847,1.35847
116,1.39523,1.39523
117,1.30502,1.30502
118,1.27913,1.27913
119,1.35085,1.35085
120,1.29884,1.29884
121,1.29734,1.29734
122,1.35103,1.35103
123,1.37074,1.37074
124,1.41915,1.41915
125,1.41742,1.41742
126,1.36447,1.36447
127,1.33434,1.33434
128,1.4053,1.4053
129,1.38605,1.38605
130,1.42022,1.42022
131,1.422,1.422
132,1.33638,1.33638
133,1.3325,1.3325
134,1.36248,1.36248
135,1.37263,1.37263
136,1.37288,1.37288
137,1.34923,1.34923
138,1.39011,1.39011
139,1.35935,1.35935
140,1.34995,1.34995
141,1.34587,1.34587
142,1.3725,1.3725
143,1.33509,1.33509
144,1.33287,1.33287
145,1.35091,1.35091
146,1.37838,1.37838
147,1.35393,1.35393
148,1.36101,1.36101
149,1.34353,1.34353
150,1.34083,1.34083
151,1.3385,1.3385
152,1.31525,1.31525
153,1.32732,1.32732
154,1.34129,1.34129
155,1.33604,1.33604
156,1.36009,1.36009
157,1.36055,1.36055
158,1.37191,1.37191
159,1.3617,1.3617
160,1.33634,1.33634
161,1.34858,1.34858
162,1.36357,1.36357
163,1.36325,1.36325
164,1.35391,1.35391
165,1.38092,1.38092
166,1.37049,1.37049
167,1.36781,1.36781
168,1.34448,1.34448
169,1.34817,1.34817
170,1.34698,1.34698
171,1.35226,1.35226
172,1.36928,1.36928
173,1.36419,1.36419
174,1.35878,1.35878
175,1.35155,1.35155
176,1.36469,1.36469
177,1.36622,1.36622
178,1.3646,1.3646
179,1.37689,1.37689
180,1.37741,1.37741
181,1.37578,1.37578
182,1.37096,1.37096
183,1.3703,1.3703
184,1.37827,1.37827
185,1.37789,1.37789
186,1.37999,1.37999
187,1.38447,1.38447
188,1.38199,1.38199
189,1.38677,1.38677
190,1.3919,1.3919
191,1.39825,1.39825
192,1.3987,1.3987
193,1.39448,1.39448
194,1.39466,1.39466
195,1.38859,1.38859
196,1.38458,1.38458
197,1.38464,1.38464
198,1.38699,1.38699
199,1.38673,1.38673
200,1.39248,1.39248
201,NaN,NaN
