epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,87.4389,3.39673,4.67193,4.59493,3.58838,0,0.00565,0.1515,0.00354,0.00101,0.00547,0.09477,0.00345,0.00114,3.82712,3.90016,4.61045,3.61803,0,0.000332425,0.000332425,0.0670899
2,168.871,2.97586,3.77225,3.88161,3.14764,0,0.20987,0.06381,0.01243,0.00296,0.80948,0.05417,0.01446,0.00349,3.25529,3.66885,4.36846,3.42409,0,0.000662463,0.000662463,0.0340866
3,250.107,2.68334,3.45616,3.63394,2.93589,0,0.31757,0.1233,0.05466,0.01824,0.34759,0.12601,0.06176,0.0169,2.70735,2.88347,3.67842,3.07007,0,0.000989201,0.000989201,0.00108003
4,330.302,2.52015,3.24353,3.45821,2.8083,0,0.2455,0.12917,0.06986,0.0204,0.25543,0.13044,0.07708,0.03783,2.67484,2.79484,3.79837,3.00312,0,0.00098515,0.00098515,0.00098515
5,410.572,2.41905,3.17564,3.27448,2.67074,0,0.27652,0.12942,0.04533,0.0194,0.10687,0.1604,0.04726,0.01668,2.71602,2.82638,4.1134,2.98462,0,0.0009802,0.0009802,0.0009802
6,490.779,2.31939,3.09554,3.14994,2.57251,0,0.51574,0.12989,0.11358,0.04436,0.3231,0.16868,0.13001,0.06559,2.48892,2.48896,3.6238,2.8186,0,0.00097525,0.00097525,0.00097525
7,571.34,2.22845,2.99491,2.99965,2.50501,0,0.1641,0.29962,0.1322,0.05302,0.15515,0.25491,0.12193,0.05874,2.30943,2.48001,3.28821,2.67489,0,0.0009703,0.0009703,0.0009703
8,652.403,2.14616,2.9263,2.88531,2.42287,0,0.36014,0.21322,0.17163,0.06603,0.3672,0.23341,0.17341,0.07995,2.27117,2.45424,3.23146,2.59847,0,0.00096535,0.00096535,0.00096535
9,732.832,2.08703,2.90612,2.79301,2.34659,0,0.19162,0.27825,0.1601,0.07734,0.22486,0.28363,0.18894,0.09283,2.19841,2.27054,3.02453,2.59964,0,0.0009604,0.0009604,0.0009604
10,814.012,2.00313,2.8432,2.71972,2.28924,0,0.22461,0.25823,0.18727,0.07422,0.42332,0.17846,0.1724,0.08826,2.18652,2.28083,2.98761,2.60493,0,0.00095545,0.00095545,0.00095545
11,894.51,1.9758,2.7662,2.65339,2.26136,0,0.44594,0.25396,0.20186,0.09737,0.34482,0.29061,0.21827,0.10736,1.99382,2.2038,2.85706,2.43804,0,0.0009505,0.0009505,0.0009505
12,975.436,1.91349,2.73847,2.57057,2.19428,0,0.31483,0.31018,0.23092,0.10532,0.36277,0.30054,0.25389,0.11543,2.14699,2.24096,2.80576,2.43723,0,0.00094555,0.00094555,0.00094555
13,1056.99,1.88521,2.73458,2.49074,2.16345,0,0.28461,0.36299,0.25525,0.11571,0.27784,0.38166,0.2577,0.12313,2.03072,2.0699,2.72311,2.42238,0,0.0009406,0.0009406,0.0009406
